id,average_rating
6333213,3.9842236
493553,3.965298
25574766,3.9259763
133411,3.965045
64279,4.134961
613727,3.95655
36260386,3.8079078
12221730,4.371227
29954513,4.1050053
9505358,3.9073806
32193050,4.77174
22567177,3.9856753
37976541,3.9721487
29983711,4.046853
449913,3.8849256
16401102,4.0111685
24899667,4.066491
204123,3.9454079
852922,4.0511017
481446,3.945771
114179,4.0288606
35961572,4.095883
210747,4.0609417
359810,4.060537
793298,4.029569
6076459,3.9879124
7736086,4.209676
101648,4.000346
52775419,4.0889707
17409259,4.1468496
25448813,3.7386794
80616,3.9676702
23221,3.9985402
186937,4.1468496
43398498,4.5794773
20311827,4.01958
394729,4.098707
9439989,4.0453224
177945,4.1518908
129650,4.2719975
29996159,4.0165057
32187419,4.0390196
9538660,4.1155295
5947,3.937413
23948120,4.0155964
6318426,3.997962
17829928,4.890193
4776314,3.914791
16128338,3.9835005
23931668,4.77174
114550,3.8649313
17412272,4.234984
35098412,4.0949574
18776164,4.1582074
20262017,4.1301045
364089,4.124767
2573331,4.2158456
566850,3.933799
895886,4.109546
10519,4.1024156
196924,4.0765333
2372,3.8883653
605878,4.008788
24889275,3.9906797
402,3.9388845
6684540,3.9486554
35414,4.107658
6949634,4.003982
5280062,4.0969667
7011879,4.054004
10637748,4.054672
501909,4.0356045
24477484,3.8768873
12630405,4.1206775
80113,4.002626
11928859,4.109872
17331828,3.9629657
102440,4.1137366
224244,4.014483
13260217,3.9669507
6315602,4.09256
43840632,4.3884687
4035,4.2717037
6671719,4.1487174
18589656,3.7962499
459820,4.0609016
8762337,4.0473084
6609769,3.9207094
13072125,4.119797
16152916,4.014619
41667,4.023681
29718,3.9583368
5995681,4.0670757
2905549,3.8296375
1527414,3.9636035
10346185,4.010056
11100788,3.921223
44547834,3.9820898
34317524,4.0298343
272773,4.1115813
167845,4.1034665
352727,3.9686816
965170,4.114228
8573409,3.987209
97380,4.011584
10567183,4.049578
14384,4.0398073
17396350,3.876188
179681,4.013676
12106826,4.107386
34776051,4.371227
19057,3.9573913
13022577,4.04546
20582,3.953712
18384116,4.283961
349562,4.0193357
929783,3.9462292
12262889,3.9901211
6439991,3.8939226
10441,4.092762
721003,3.9998348
1298130,4.037389
338551,4.0527377
7164005,3.8252966
6639763,3.9426663
9296389,4.0872016
3488337,3.8810196
422463,4.013245
12144652,3.8760133
9915450,4.0174513
36482829,3.7698607
228064,3.9916093
218467,4.0493555
560929,3.8858457
22593592,4.3088536
57412,3.931078
9476583,4.075543
22740704,4.5794773
9809,3.8618646
21936988,3.8932426
485129,4.0002217
23297931,4.0202584
9518460,0.007251331
1506342,3.8980448
1258620,3.9697595
2403889,4.111945
6648595,4.020646
6345760,4.165872
11515298,3.9471457
17283481,3.756524
6056474,4.371227
25100,4.177534
809403,3.9407365
7907267,4.0605464
744981,3.9078083
25992990,3.8769226
7911363,4.114228
9667957,4.107658
18219567,3.9399354
23270403,4.0353074
17707599,3.9009743
34871,4.204127
23472563,3.8336625
6693329,4.020822
1556485,4.227384
7756979,3.9306276
7094635,4.0591745
260941,3.9705198
23544764,3.9324086
20739284,4.1000376
31804439,3.7103837
25516432,4.1919785
274138,4.024223
6572004,4.10699
20883450,4.11275
2348340,4.1576147
5962048,4.009376
164760,3.9358752
857445,3.9632611
5978004,4.08606
1421759,4.0754585
16075538,3.9530635
9606839,4.1078963
30198696,3.953041
24766,4.0508456
783127,3.942543
175004,4.147118
38227140,4.1682196
5830358,3.9919198
23367261,3.9583533
5843145,4.042769
23001,3.9048853
372623,4.076487
21857325,4.01855
2502336,4.0944195
12369685,4.0089154
4136,3.9950252
23393898,4.5794773
1262999,4.0373054
25884,4.107658
9641072,3.9053202
27917957,3.774665
9526993,3.934291
727664,4.1084204
8088,3.8771102
17404772,4.1139383
1223054,4.001056
351198,4.040932
34568988,4.0367575
25547096,4.0242844
17262203,4.0836616
41899,4.0174065
17560038,3.9758952
747252,3.923429
23476097,3.9010556
11333985,3.8855722
10773791,4.111143
272315,3.9762306
16247475,4.0928793
11899417,3.9987512
10279729,3.9985237
33146881,3.9609394
161156,4.007322
24611,3.9883409
120566,4.070946
348623,3.8904388
615921,4.1066246
5486,3.9550445
820591,3.9198446
3347892,4.0626063
590210,4.0052323
20830845,4.2306614
5937,4.031537
9625608,4.1696787
11849067,3.9895906
7904158,3.7940242
151691,4.075813
44017627,4.104952
8709527,4.0534105
135444,4.0810323
17603,3.9801998
583924,4.1282754
1591,3.9862275
58384,3.9894476
28634,4.0128493
1215358,3.9901597
64410,3.9800866
70488,4.159102
21403405,3.9141848
15990986,3.9892437
35613634,4.2167997
13148921,4.0684953
415028,4.0944195
59647,3.9993927
53404,4.1707554
17829483,3.8437796
13601922,3.9647558
30780406,4.0212445
52655318,4.77174
53135268,4.027085
18081232,4.0745583
17262366,4.056376
67938,3.936155
315039,3.9115002
25657509,4.137104
25661187,3.9215138
30311774,4.0273685
30256105,4.0724115
13206760,3.9687579
687062,4.0785627
35162183,3.922218
13031238,3.9470663
43334,3.9537554
15044,4.0084286
17872170,4.2455387
19475852,4.156693
533327,3.904157
40545688,3.9998732
4469138,4.2167997
298461,4.0356426
5267365,4.040285
6261078,3.9207196
8735747,3.8394246
32234,4.0294957
35488,3.9724672
14201,3.9756567
13451196,4.0473084
15698746,4.0545197
48912185,3.8849528
171471,4.184256
13511036,4.049063
68631,4.039541
10714906,4.068395
152435,3.969143
22698031,4.100003
6979760,4.100543
3676748,3.8903391
1465117,3.894295
41704,4.1139965
54596,4.0460105
26802440,3.8853798
1161359,3.960153
13321375,3.9694579
345474,3.942207
16069859,4.0127034
11800695,3.903316
25901949,4.283961
1678745,4.0767417
3992020,4.1313505
6617037,3.9233959
11367731,4.027085
17607850,4.0758944
6622256,4.016457
789497,3.9086728
17697959,4.302126
34467031,3.9762356
55022,4.074743
31795,3.9595778
11019938,4.119797
23258935,4.0456924
19447,4.1704497
18656310,4.0147486
13818372,4.1331983
1542405,3.9931428
6880871,4.0467925
15774718,4.0228357
10913887,3.9301498
40640622,4.372204
7796549,4.0180326
7923163,3.9271426
1839075,4.0687847
1111741,3.9449985
33784373,3.9540467
246084,4.0459585
863687,3.9719875
10259337,4.1031795
57778,3.9709032
2598001,4.0992613
15840340,3.9428508
183660,3.8926098
14760825,3.878215
7663506,4.2359443
97412,3.8894837
15832,4.073222
712820,3.9123678
17286692,3.8849256
10813480,4.0683217
18490532,3.980334
24396856,3.969682
231916,4.1050053
30375777,3.774601
33600,4.0711865
53809,3.9365292
24268361,4.028807
18246262,4.044897
10671152,3.8280675
24281477,4.006982
552344,4.185595
12812550,4.0661526
763489,4.0790977
111220,4.1144147
15734769,4.3408456
10002866,4.394533
17259227,4.244039
31157,4.182248
15713473,3.9345078
6811150,4.0477695
18668059,4.0383935
39341080,4.100024
43708,3.9601784
2985500,4.0793
6150990,3.9974203
24899046,4.051563
8421720,4.0269933
16060302,4.028086
6597855,4.0810323
7952502,4.0731087
7231,3.7297459
140360,4.0869565
15843286,3.870884
29492022,3.9894578
45242,4.1623588
31428970,3.9189243
10508714,4.1286616
27000,4.0956607
226004,4.2117076
24131400,4.181546
28319471,4.1889615
288958,3.9374673
18692432,3.8513885
1746329,3.96641
141834,4.070946
3086160,3.889565
1225261,4.0451355
11797636,4.0649385
19534,3.8928163
804579,4.176318
559625,3.9818065
140091,3.9735038
292367,4.01974
855704,4.137483
1576915,4.0178885
750129,4.1287427
27273806,4.236714
20517362,4.302823
2111634,3.9425673
11609409,3.885045
17668976,4.0316315
8431510,4.890193
10428803,3.988246
22980201,4.0298343
4769651,4.0920324
197743,4.029247
6566722,4.07382
30830742,4.1157575
36348348,4.2644305
3071808,4.145939
2590136,3.8913603
17334062,4.060036
335459,4.079867
540187,3.992764
1556130,4.2163944
12924312,4.0295415
12285174,3.981046
6951263,4.0816464
750693,4.0882206
36690518,3.9510028
22014031,3.9238493
98783,4.148816
9473008,3.9123304
16793,3.9017382
10832326,3.9313252
9753375,4.0339518
23171368,3.8975708
669,4.0084286
529126,3.9842088
13078860,4.77174
782898,3.964821
25,3.956199
13578340,4.251806
23966802,3.9072666
12736986,4.140336
768496,3.9468472
33283628,4.0096316
20483059,4.0269933
29742514,3.7970412
12696963,4.371227
6376575,3.957976
25668685,4.003916
1022794,4.0869713
10815,3.9959369
11069481,4.0986757
297684,3.79318
16135735,3.9822645
15566,4.1514583
392873,3.9324086
57913,4.1216846
8889142,4.0750785
15790833,4.010444
34658,3.9096704
3258891,4.0913267
1557369,4.009144
23245312,4.2667775
68260,4.162859
10453436,3.8916464
41424,4.061393
27267112,3.909559
18051301,3.880119
103180,4.1363754
40587406,4.278383
7130788,4.03069
278198,4.030011
29948,4.0086794
169756,3.8871145
628283,3.9494505
10728435,4.069057
13154142,3.9820914
129659,3.995373
15707018,4.094874
1551211,4.107967
9462795,4.091362
109421,4.040407
20075,4.1373034
672178,4.005585
376579,4.0270386
942959,3.9581618
29383696,4.120532
45916638,3.9944549
8487363,4.0750284
543164,4.107658
13486177,3.8358178
18715598,4.045059
49176,3.9214246
7842739,4.0825677
25481803,4.0484667
7314827,3.9628932
3392668,3.9311664
161503,3.9966795
7366,3.9076169
335258,3.9470663
13628713,3.896181
324296,4.024991
30133993,3.8986044
23014733,3.9124696
18189134,3.9820914
592089,4.0560775
10459088,3.9091723
28580871,4.019317
15496,4.103544
31367949,4.107658
1095697,4.0424113
39397,4.055991
199688,4.0376687
78426,4.045674
562989,3.9647846
292868,3.8858457
6294553,4.0886235
5015,3.8588014
12646818,4.0200415
8156791,3.935505
6356187,4.0816183
13586786,3.9017324
16025807,4.0522237
420729,4.1200047
8678316,4.1032114
33459,3.9584157
24259392,4.065718
5329489,4.0290527
245727,4.107658
14031,3.8783321
1736739,4.0910163
17909627,4.027705
7320458,3.9991155
35068742,4.0729113
13320466,4.037123
17290682,3.9223032
1292398,4.0715947
797298,3.879553
21897920,3.797238
84592,3.9479737
1641409,4.1425123
1928405,3.8097742
359800,4.0836654
271293,3.9469287
347143,3.8913603
18670195,4.2667775
6013239,4.371227
5983694,3.938518
49535136,4.5441647
9872091,3.940214
3609763,4.1132455
2208744,4.0713162
10021050,4.407504
17324,4.0823507
20987875,4.0701933
129327,4.0103126
11277484,3.8465483
53970,3.9725041
25877188,3.9959369
17158059,4.284287
30658,4.0227036
18776942,4.03277
23495112,4.002173
28114673,4.134896
902715,4.037223
33801718,4.0745583
44186,4.0346966
2120932,4.067796
5945363,4.04917
38198027,4.017301
26256237,4.00958
22478,3.8992565
13375285,4.098258
1474628,4.012202
17841,3.9186497
452157,4.2879424
17731595,3.7969542
337537,4.1249075
18754726,3.9059222
107082,4.08053
17872528,3.9562683
23258641,3.960861
816580,4.046772
613268,4.015115
5625477,3.9154441
24334,4.042403
11094094,3.9891984
10255156,4.0663257
55354,4.000751
96263,4.001488
161099,3.9554641
28090093,3.9384544
5562484,4.1345096
20924605,4.1134505
659578,3.8455591
61666,3.9451134
358856,4.0589943
75586,3.974854
771941,3.9551935
17835709,3.9306777
750249,4.0061417
25519195,4.371227
2203766,4.0539203
17229636,3.9758995
23160974,4.026759
23285694,3.8463435
9471065,4.075543
10425958,4.062505
12196789,3.9634905
5342,3.8466148
66676,4.1888256
217637,3.9895754
53130,4.0163794
15845821,4.064451
22226453,4.0589943
22570789,3.8438666
29502332,4.198566
6286042,4.080036
11262609,3.9451227
79549,4.0847363
153592,3.9469132
104507,3.937413
29981261,4.0661526
18809475,4.0638876
8074831,4.0882206
919341,4.1970673
16036611,4.0752006
244813,4.139191
7042,3.9856503
311980,3.89566
7985169,4.0653067
6156,3.9330082
8849382,3.7721372
41184315,3.7676504
11337189,3.8611617
28859,3.9857597
15998465,3.9669507
406683,4.0589943
515885,4.013665
28587957,4.1587634
110985,4.213578
294044,3.9848645
22055878,3.992208
6496803,4.050969
17859911,4.0456343
9608954,4.002626
39297840,3.863048
18490657,3.8111312
28249945,4.076683
173572,4.059357
10891220,3.9961586
8293107,3.9822645
28222196,4.297259
874419,4.133864
62805,3.957564
24722065,3.991977
22490206,3.9479573
12844699,4.028163
659469,4.0374713
18042658,4.055719
6064622,3.9384224
11703597,4.2035856
16047633,3.9985144
266668,3.929148
30687916,3.999618
7123161,4.002383
69722,3.9073806
1825349,3.9892437
568047,4.1189747
114725,4.0198255
35605654,4.315501
42674568,4.2074895
22011936,4.002691
26007617,4.1148043
36587026,4.347463
5132915,4.100003
1243525,4.1871367
9706047,3.9426239
13063098,3.8928335
8977434,3.9820898
9565548,4.076918
124920,4.01883
7469133,4.041156
733730,4.0486526
16156006,3.921443
63913,3.9544518
77996,4.121672
184565,3.8543546
206868,3.9123678
18849994,4.145598
52494371,4.418971
35478658,4.0436225
1001624,3.975009
189311,4.1287355
22836165,4.165955
1136210,3.8972993
3266670,4.169487
210329,4.177171
1063298,3.8620315
1553885,4.049632
72872,3.9615057
62885,4.0390377
26597404,3.9330523
15832316,4.040467
42612771,4.2170153
35276925,4.0145345
11664488,4.0325294
236,3.8430488
29874077,4.0119405
13641208,4.0529394
17331327,3.9357288
809428,3.9050899
723456,4.019362
17222083,3.9634905
21570074,3.9223032
11215260,4.103999
1103210,4.016114
10666722,4.1667438
12439063,4.0656486
25820836,3.9627552
491087,4.0964727
568070,4.0193357
882541,3.9656959
19181243,4.108165
240950,4.0842986
497179,4.0202103
7049216,4.0812936
6795401,3.9324086
2411390,3.8581295
34138475,3.85531
22907051,3.9331503
44012880,4.080388
184997,3.949832
13891,4.2516246
10814,3.9553037
154423,3.9745188
147039,3.989457
13517444,4.0253
3954298,3.9105752
226151,4.0325294
13662,4.042021
18405346,4.0889707
13506029,3.9533112
18145146,4.2347364
2299887,3.9918497
15940448,4.054686
6593530,3.951095
6323307,3.9546492
949709,4.1354475
57545,3.9115305
129131,4.069898
13986,4.064714
15991079,4.127439
9303006,3.8336625
19263293,4.0286565
17252254,4.248151
1376220,3.9795487
18187013,4.051856
746255,4.118166
23129839,4.021557
23492671,4.071544
413794,3.9330523
398863,4.037466
421044,4.0740466
20518872,4.0661526
16092672,4.08729
7826116,4.0746284
